dauer;status;beginn.monat;female;male;alter;bild
26;1;7;0;1;46;1
3;1;100;1;0;30;1
1;1;65;0;1;40;2
4;1;113;1;0;25;2
3;1;37;0;1;28;2
1;1;91;0;1;26;2
1;1;110;0;1;30;2
8;0;29;1;0;39;1
7;1;23;0;1;38;2
1;1;68;0;1;32;3
2;1;89;1;0;32;2
24;0;91;0;1;25;2
5;1;113;1;0;40;1
5;1;26;0;1;50;2
15;0;44;1;0;48;2
2;0;71;1;0;36;1
12;0;73;0;1;44;2
3;1;11;0;1;31;2
7;0;100;1;0;32;2
12;0;49;0;1;40;2
2;0;123;0;1;37;2
36;0;67;1;0;56;2
2;0;35;1;0;34;2
16;0;69;0;1;55;2
36;0;91;0;1;38;3
9;0;58;0;1;31;2
3;0;87;1;0;28;2
20;0;82;1;0;60;1
5;1;87;0;1;34;1
1;1;6;1;0;38;2
32;0;30;0;1;58;1
1;1;7;0;1;51;2
10;0;99;0;1;29;2
2;1;68;0;1;50;2
1;1;96;0;1;25;3
1;1;96;1;0;25;2
11;1;40;0;1;27;2
19;1;97;0;1;46;2
6;1;58;1;0;52;2
1;1;49;0;1;26;2
4;0;57;1;0;28;2
2;1;69;0;1;25;3
1;1;111;0;1;34;1
1;1;46;1;0;29;1
4;1;121;0;1;43;2
1;1;90;0;1;59;1
7;1;8;0;1;45;2
36;0;29;0;1;44;1
4;1;109;0;1;50;2
1;1;81;0;1;25;2
32;1;84;1;0;46;2
2;1;62;0;1;30;2
4;0;121;0;1;38;2
29;0;68;1;0;57;2
3;0;75;1;0;38;1
13;0;88;0;1;60;2
30;0;8;0;1;58;2
1;1;63;0;1;49;2
2;1;91;0;1;36;2
36;0;3;1;0;26;3
4;1;33;0;1;35;2
10;1;57;1;0;47;3
2;1;110;1;0;40;1
8;1;98;1;0;46;2
2;1;123;0;1;47;2
1;1;121;0;1;47;2
3;1;90;0;1;31;2
4;0;85;1;0;33;1
1;1;70;0;1;28;2
12;0;63;0;1;32;3
16;0;45;0;1;56;2
8;0;86;0;1;34;2
9;1;57;1;0;29;2
16;1;22;0;1;42;2
2;1;13;0;1;50;2
3;1;84;0;1;47;2
1;1;84;0;1;54;2
4;1;90;0;1;35;2
8;0;61;1;0;25;2
2;1;62;0;1;49;1
4;1;33;1;0;32;1
12;0;74;1;0;40;2
3;1;99;1;0;33;3
9;1;33;0;1;52;1
9;0;116;0;1;25;2
6;1;46;1;0;44;2
10;1;46;0;1;33;1
3;1;61;0;1;32;2
6;1;97;0;1;33;2
3;1;40;1;0;51;2
21;1;13;0;1;56;2
22;0;78;1;0;60;2
10;0;115;0;1;52;1
5;1;48;0;1;30;2
13;1;39;0;1;48;2
10;0;99;1;0;30;2
8;0;5;0;1;61;2
11;1;25;1;0;48;3
2;1;66;0;1;32;2
36;0;90;1;0;38;2
36;1;5;0;1;53;1
36;0;97;1;0;44;2
1;1;85;1;0;25;2
19;0;65;1;0;58;2
2;0;25;0;1;26;2
12;1;63;0;1;32;2
12;0;48;0;1;61;1
6;1;62;1;0;53;1
7;1;116;0;1;51;2
2;1;97;0;1;39;2
19;0;102;0;1;49;1
36;0;7;0;1;57;2
6;1;95;0;1;45;3
9;0;70;0;1;40;2
1;0;48;1;0;27;2
1;1;113;1;0;41;2
3;1;4;0;1;47;1
14;1;12;0;1;37;2
2;1;101;0;1;27;2
3;1;84;0;1;42;2
18;0;55;0;1;32;2
4;1;113;0;1;26;2
8;1;10;1;0;54;1
6;1;69;0;1;38;2
16;0;21;0;1;50;2
2;1;73;0;1;40;2
7;1;113;0;1;60;2
2;1;17;0;1;28;1
2;1;84;0;1;38;1
4;1;101;1;0;25;2
1;1;104;1;0;46;2
7;1;98;1;0;30;2
6;1;97;0;1;25;3
10;0;11;1;0;31;1
2;1;36;1;0;30;2
36;0;49;0;1;57;3
3;1;97;0;1;34;2
15;1;7;1;0;33;2
1;1;54;1;0;38;1
2;1;121;0;1;36;2
3;0;94;0;1;29;2
13;0;112;0;1;55;1
4;1;84;1;0;34;2
36;0;108;1;0;45;2
1;0;112;1;0;31;1
5;1;5;0;1;34;2
34;0;39;1;0;57;3
7;1;92;0;1;35;3
4;1;43;1;0;29;2
3;1;120;0;1;52;2
9;1;78;1;0;58;3
36;0;21;1;0;54;2
13;0;97;1;0;62;2
9;0;116;0;1;36;1
1;1;25;0;1;29;2
1;1;108;0;1;42;2
4;1;121;0;1;25;2
3;1;30;1;0;49;2
15;1;28;0;1;42;2
36;0;103;1;0;40;1
9;0;28;0;1;43;3
27;0;32;1;0;58;1
10;1;57;0;1;27;2
27;1;61;0;1;43;3
7;1;97;1;0;32;2
4;1;85;0;1;48;2
29;1;26;1;0;41;1
6;1;97;0;1;38;2
2;1;97;0;1;48;2
9;1;86;0;1;36;2
1;0;124;0;1;56;3
1;0;96;1;0;45;2
16;1;100;0;1;46;1
2;0;119;0;1;29;2
36;0;90;1;0;54;1
9;0;68;1;0;58;2
12;1;76;1;0;31;1
4;0;121;1;0;35;2
5;1;1;0;1;36;2
8;1;29;1;0;46;2
1;1;47;1;0;25;2
35;0;54;0;1;38;2
1;1;19;0;1;34;1
7;1;75;0;1;36;2
2;1;87;0;1;59;2
36;0;12;0;1;37;2
36;0;92;1;0;48;3
1;1;111;1;0;31;2
9;0;53;1;0;51;2
8;0;97;0;1;32;2
7;1;84;1;0;55;1
6;1;13;0;1;31;2
15;0;24;1;0;34;1
9;0;4;1;0;50;2
7;0;69;0;1;26;3
4;1;109;0;1;28;2
3;1;111;0;1;49;2
16;1;29;0;1;45;1
4;1;29;1;0;43;2
9;1;83;0;1;36;2
19;0;79;0;1;55;2
2;1;38;0;1;41;2
6;1;91;1;0;25;1
2;1;25;0;1;34;2
12;0;9;0;1;47;1
3;0;122;0;1;27;3
5;0;26;0;1;37;1
2;1;109;0;1;45;2
3;1;84;1;0;39;2
3;1;68;1;0;48;3
3;1;115;1;0;46;1
2;1;95;0;1;29;1
10;0;99;0;1;53;2
17;1;86;0;1;40;2
9;1;106;0;1;56;2
20;1;37;0;1;56;2
1;0;69;0;1;25;2
7;1;101;0;1;38;2
11;0;112;0;1;64;1
1;1;105;0;1;37;2
4;1;113;0;1;50;1
19;0;67;0;1;42;2
12;0;85;1;0;53;3
4;0;121;0;1;63;1
3;1;110;0;1;48;2
4;1;96;0;1;43;2
3;1;24;0;1;43;2
15;1;87;0;1;48;3
1;0;120;0;1;25;3
1;0;124;0;1;34;2
36;0;1;0;1;48;2
6;0;10;1;0;41;2
4;1;50;0;1;58;2
12;0;98;1;0;44;2
9;1;7;0;1;33;2
1;0;124;0;1;48;2
2;1;119;0;1;56;2
3;1;69;0;1;43;1
5;1;119;0;1;36;2
3;1;42;0;1;31;1
10;0;3;1;0;32;1
6;1;78;0;1;32;2
5;1;119;1;0;27;2
25;1;18;0;1;27;2
2;1;79;1;0;36;2
8;1;35;0;1;43;2
28;1;11;0;1;52;2
4;0;33;0;1;48;1
7;0;66;0;1;29;2
18;0;107;1;0;59;2
5;0;32;0;1;36;3
4;1;81;0;1;39;3
4;1;36;0;1;57;2
3;1;86;0;1;48;2
3;1;111;1;0;43;3
9;0;100;0;1;50;2
6;1;49;0;1;27;2
4;1;110;1;0;30;1
1;1;43;0;1;26;2
1;1;70;1;0;41;2
3;1;20;1;0;31;2
4;1;78;1;0;39;2
36;0;68;0;1;34;2
5;1;100;0;1;39;2
2;1;97;0;1;52;2
5;1;109;1;0;46;2
12;0;113;0;1;47;3
21;0;88;1;0;60;1
2;0;71;1;0;33;2
7;0;102;0;1;62;2
3;0;22;0;1;31;2
13;1;56;1;0;40;1
7;1;91;1;0;39;2
5;0;115;1;0;38;1
6;1;118;1;0;42;2
25;0;73;0;1;50;1
2;1;18;0;1;27;1
21;0;102;1;0;58;3
3;1;103;0;1;42;2
3;1;120;0;1;33;2
12;0;74;0;1;59;2
3;0;35;1;0;26;1
6;1;100;1;0;30;2
13;1;26;0;1;29;3
28;0;97;0;1;58;2
1;1;15;0;1;37;2
9;1;116;0;1;39;2
1;1;9;0;1;42;2
11;1;29;0;1;54;2
34;0;34;1;0;57;1
1;1;72;0;1;44;2
8;0;69;1;0;42;2
2;0;3;0;1;29;2
8;0;33;1;0;46;1
3;1;19;0;1;33;1
14;1;85;0;1;52;2
2;0;23;0;1;25;3
3;1;86;0;1;44;2
19;1;7;0;1;29;2
7;0;118;0;1;57;3
2;1;8;1;0;52;1
5;0;104;0;1;47;2
2;1;7;1;0;36;2
36;0;2;1;0;35;2
7;1;116;0;1;26;2
4;0;92;1;0;32;2
6;0;40;0;1;45;2
2;1;77;0;1;34;2
7;1;117;0;1;50;1
5;1;13;0;1;45;1
24;1;84;0;1;32;3
26;1;84;1;0;53;2
16;0;109;0;1;53;2
5;1;98;0;1;49;2
6;1;82;0;1;25;2
9;1;34;0;1;50;2
6;0;112;1;0;59;2
10;1;6;1;0;40;2
6;0;25;0;1;34;2
4;1;25;1;0;36;2
1;1;92;1;0;37;2
20;0;93;1;0;34;2
6;0;56;1;0;59;2
4;0;43;1;0;35;2
4;1;114;0;1;51;2
4;0;121;0;1;28;2
4;0;121;0;1;28;3
7;0;118;0;1;50;3
14;1;95;1;0;38;1
3;0;122;0;1;45;2
5;1;85;1;0;27;2
28;1;78;1;0;46;2
36;0;100;0;1;25;3
3;0;10;0;1;58;3
1;1;28;0;1;34;2
3;0;122;1;0;32;2
1;1;89;0;1;51;2
17;0;78;0;1;32;2
2;1;51;0;1;35;1
5;0;105;0;1;33;2
3;0;72;1;0;49;2
36;0;94;0;1;42;2
8;0;117;0;1;52;2
22;0;78;0;1;58;2
9;1;1;1;0;38;1
15;1;105;1;0;44;2
2;1;34;0;1;34;2
32;0;89;1;0;58;2
20;0;97;0;1;60;1
16;1;104;1;0;44;3
2;1;38;0;1;44;2
10;1;73;0;1;30;2
30;0;91;1;0;34;3
6;1;75;0;1;57;2
7;0;8;1;0;46;3
1;0;86;0;1;44;1
13;1;56;1;0;31;2
22;0;14;1;0;54;2
13;0;51;1;0;50;1
3;1;66;1;0;35;2
1;1;96;0;1;45;2
11;0;9;1;0;32;2
36;0;47;0;1;31;3
4;1;41;1;0;26;2
36;0;33;1;0;46;2
18;0;64;0;1;27;2
3;1;66;1;0;26;2
21;0;49;1;0;58;2
1;1;71;0;1;26;2
23;0;102;1;0;49;2
3;1;13;1;0;58;2
6;0;119;0;1;33;2
7;1;99;0;1;37;2
13;0;112;0;1;47;3
11;0;34;0;1;55;1
4;1;71;0;1;25;2
2;1;71;0;1;36;2
6;0;119;0;1;38;2
16;0;109;1;0;25;2
3;0;34;1;0;36;2
19;1;102;1;0;60;1
36;0;84;0;1;57;1
1;1;103;1;0;45;1
14;0;61;1;0;59;2
4;1;109;0;1;41;2
1;1;116;0;1;27;1
6;1;76;1;0;54;2
9;1;83;0;1;56;2
7;0;15;1;0;39;2
25;0;21;1;0;58;2
4;1;12;1;0;42;2
13;1;90;0;1;45;3
5;1;26;1;0;32;1
15;0;90;1;0;43;2
6;1;57;0;1;28;1
13;1;13;1;0;42;2
36;1;85;1;0;34;1
4;1;79;1;0;34;2
7;1;111;0;1;29;2
10;1;78;1;0;38;2
11;1;98;0;1;34;2
7;0;71;1;0;44;3
20;0;74;0;1;58;2
24;1;43;1;0;48;2
11;1;19;0;1;36;2
1;0;33;1;0;25;1
1;1;94;0;1;36;1
3;1;25;1;0;37;2
2;1;61;1;0;40;3
3;1;121;0;1;39;2
3;0;83;0;1;31;3
12;1;81;0;1;28;2
5;0;35;0;1;60;1
4;0;53;1;0;33;1
8;1;81;0;1;51;2
6;1;86;0;1;34;1
4;0;93;0;1;39;2
4;1;78;0;1;31;1
3;1;71;1;0;52;2
5;1;58;0;1;58;2
12;1;93;0;1;42;2
8;0;97;1;0;51;2
32;0;75;0;1;60;2
32;0;58;0;1;58;1
1;1;63;0;1;32;2
6;1;95;0;1;40;1
16;0;25;0;1;59;1
3;1;46;0;1;39;1
3;0;41;0;1;39;2
9;1;13;1;0;39;2
8;1;11;0;1;27;2
2;1;74;0;1;55;1
2;1;7;1;0;27;3
2;1;28;1;0;27;1
1;1;28;0;1;42;2
7;0;66;0;1;32;2
31;0;78;0;1;50;3
33;0;81;1;0;41;2
2;1;95;0;1;30;1
1;1;42;0;1;28;1
1;1;101;0;1;40;2
3;1;41;0;1;29;2
2;0;123;1;0;31;2
1;0;84;0;1;56;2
5;0;120;0;1;30;2
1;0;84;0;1;41;2
16;1;61;1;0;41;2
3;1;22;1;0;36;3
1;1;71;0;1;48;1
10;0;66;1;0;33;3
11;1;19;1;0;32;2
11;0;114;0;1;28;2
12;1;97;0;1;34;2
3;1;77;1;0;57;2
12;1;41;1;0;44;3
1;1;69;1;0;26;2
19;0;98;0;1;62;1
21;0;67;0;1;56;1
5;1;11;0;1;36;1
15;1;57;1;0;49;1
5;1;107;0;1;57;2
8;0;69;0;1;35;2
18;1;90;1;0;42;2
3;1;7;1;0;45;1
8;0;113;0;1;42;2
12;1;32;0;1;25;3
17;0;8;0;1;59;1
5;1;83;0;1;38;2
1;0;38;0;1;46;2
2;1;120;0;1;49;2
36;0;14;1;0;57;3
4;1;109;0;1;29;2
12;0;18;0;1;58;3
12;0;52;0;1;60;2
36;0;81;1;0;32;3
3;0;68;0;1;32;2
9;0;81;1;0;27;2
6;1;62;0;1;44;2
12;1;106;0;1;43;1
5;1;40;0;1;43;1
3;1;94;0;1;32;2
1;1;115;1;0;39;3
17;1;96;0;1;38;2
2;0;42;0;1;32;3
7;1;76;0;1;40;2
26;1;88;0;1;58;2
1;1;45;0;1;40;2
1;0;124;1;0;59;3
10;0;28;1;0;53;1
31;0;57;1;0;58;1
20;0;59;1;0;49;2
2;1;72;1;0;42;1
4;1;14;0;1;43;2
8;0;111;1;0;28;2
3;1;25;0;1;30;1
32;0;49;1;0;56;2
4;1;27;0;1;32;2
3;0;19;0;1;34;2
8;0;22;1;0;31;2
36;0;20;1;0;48;2
4;0;73;1;0;52;2
2;1;110;0;1;32;2
1;1;48;0;1;27;2
4;1;100;0;1;44;1
1;1;64;0;1;48;2
5;0;92;1;0;42;3
1;1;65;1;0;28;2
23;0;51;0;1;26;2
36;0;68;0;1;56;2
4;0;28;1;0;31;2
4;1;109;0;1;33;2
1;1;9;1;0;25;3
17;0;48;0;1;59;1
5;0;49;1;0;27;2
1;1;113;1;0;27;1
7;0;8;1;0;28;2
36;0;96;0;1;43;2
1;1;11;1;0;31;2
16;0;94;0;1;42;2
3;0;118;1;0;36;2
1;1;7;0;1;40;3
15;0;49;0;1;59;1
8;0;117;0;1;45;2
36;0;37;0;1;55;3
6;1;83;1;0;42;2
4;0;57;1;0;40;2
1;1;106;0;1;51;2
36;0;28;0;1;57;1
1;0;124;0;1;46;1
15;0;35;0;1;59;1
9;0;116;0;1;39;2
4;0;85;0;1;27;2
5;1;81;0;1;46;1
13;1;89;0;1;46;1
3;1;79;0;1;49;2
6;1;105;1;0;42;2
19;0;106;1;0;55;2
36;0;43;1;0;36;2
36;0;95;1;0;31;2
14;1;99;1;0;33;1
12;1;94;0;1;26;2
3;1;23;0;1;40;3
1;0;108;0;1;25;2
9;0;76;1;0;60;3
2;1;38;0;1;32;1
4;1;103;1;0;31;1
1;1;69;1;0;27;2
3;0;37;0;1;30;1
27;0;98;0;1;57;2
1;1;48;0;1;40;3
3;1;25;0;1;36;2
6;0;55;1;0;57;2
9;1;97;0;1;39;2
19;1;97;0;1;53;2
9;1;49;0;1;51;2
35;0;30;1;0;41;2
1;0;8;0;1;30;2
7;1;71;0;1;26;2
2;1;121;1;0;29;2
3;1;80;1;0;35;2
5;1;38;0;1;54;2
3;1;36;1;0;45;2
13;0;108;0;1;35;2
1;1;98;0;1;25;2
5;0;4;1;0;25;2
12;1;15;1;0;28;1
14;0;13;0;1;58;3
14;1;97;1;0;54;2
4;0;69;1;0;55;1
7;1;10;0;1;29;2
1;0;56;0;1;27;2
36;0;16;1;0;55;3
1;1;61;0;1;27;2
20;0;87;0;1;50;2
5;1;33;1;0;30;2
3;1;60;0;1;42;2
10;0;53;1;0;44;2
2;1;119;0;1;42;2
10;0;41;0;1;53;2
16;0;48;0;1;59;1
11;1;54;1;0;49;2
25;0;100;0;1;53;2
4;0;121;1;0;49;2
2;1;72;0;1;30;1
2;1;94;0;1;32;1
3;0;62;1;0;38;2
5;0;10;1;0;46;2
23;0;62;1;0;58;2
20;1;87;0;1;34;2
10;1;54;0;1;33;2
15;1;72;0;1;32;2
34;0;29;1;0;57;3
13;0;48;0;1;59;2
4;1;3;0;1;49;2
36;0;47;1;0;35;2
29;0;54;0;1;48;2
36;0;38;0;1;42;2
16;0;13;0;1;59;2
5;1;80;1;0;50;1
5;1;107;1;0;48;3
7;0;101;1;0;52;3
19;0;106;0;1;47;2
5;1;82;0;1;43;1
6;1;37;0;1;34;2
5;0;68;1;0;58;2
5;0;80;1;0;37;2
6;1;98;0;1;55;1
2;0;25;0;1;44;1
1;0;96;0;1;39;1
36;0;70;0;1;51;1
36;0;93;0;1;57;1
18;0;45;1;0;40;2
9;0;4;0;1;44;2
17;0;33;0;1;36;2
36;0;20;0;1;57;2
1;1;20;1;0;55;2
1;1;94;0;1;44;2
15;0;91;0;1;48;2
15;1;5;1;0;29;1
3;1;60;0;1;26;3
13;1;69;0;1;43;2
13;0;37;1;0;37;2
6;1;77;0;1;54;1
6;0;119;0;1;48;2
36;0;93;0;1;51;2
12;0;34;1;0;34;2
3;1;85;0;1;31;2
5;1;13;0;1;28;2
7;0;104;1;0;32;2
1;1;120;0;1;43;2
1;1;109;0;1;54;1
4;1;55;0;1;40;2
17;1;92;0;1;45;2
22;0;88;1;0;59;3
13;1;77;1;0;47;2
6;1;4;0;1;33;2
3;1;116;1;0;56;1
2;1;77;1;0;33;2
2;1;63;1;0;25;1
12;1;100;1;0;37;1
2;1;20;0;1;30;1
9;0;116;1;0;35;1
1;1;55;1;0;34;2
11;1;92;0;1;44;2
3;1;23;0;1;28;2
9;1;28;1;0;37;1
10;0;103;1;0;47;3
36;0;103;0;1;32;2
36;0;56;0;1;44;2
32;0;53;0;1;44;2
3;1;121;1;0;54;1
10;1;25;0;1;34;2
14;1;68;0;1;45;2
1;1;93;1;0;34;2
1;0;104;0;1;26;2
1;1;108;0;1;30;3
6;1;75;0;1;34;2
2;1;114;0;1;56;1
4;0;57;1;0;37;3
6;1;57;0;1;30;3
36;0;52;0;1;54;1
1;1;113;0;1;42;2
2;1;80;0;1;34;1
14;1;55;0;1;51;1
15;0;110;0;1;44;3
12;1;64;0;1;46;2
10;1;87;0;1;38;2
6;0;5;1;0;47;2
14;0;75;1;0;57;2
1;1;14;0;1;31;2
